version,month,currency,to_vnd
forecast,2024-11,USD,26347.287
forecast,2024-11,JPY,162.2894
actual,2024-11,USD,26331.6288
actual,2024-11,JPY,163.0415
forecast,2024-12,USD,26397.4252
forecast,2024-12,JPY,162.5322
actual,2024-12,USD,26118.8897
actual,2024-12,JPY,159.8835
forecast,2025-01,USD,26453.0668
forecast,2025-01,JPY,162.886
actual,2025-01,USD,25863.3353
actual,2025-01,JPY,160.081
forecast,2025-02,USD,26482.6346
forecast,2025-02,JPY,163.0708
actual,2025-02,USD,25629.0752
actual,2025-02,JPY,158.4663
forecast,2025-03,USD,26536.3497
forecast,2025-03,JPY,163.3247
actual,2025-03,USD,25746.0062
actual,2025-03,JPY,157.8605
forecast,2025-04,USD,26601.2763
forecast,2025-04,JPY,163.7763
actual,2025-04,USD,25933.6006
actual,2025-04,JPY,155.854
forecast,2025-05,USD,26653.041
forecast,2025-05,JPY,164.0734
actual,2025-05,USD,25747.6508
actual,2025-05,JPY,155.8181
forecast,2025-06,USD,26698.5802
forecast,2025-06,JPY,164.3724
actual,2025-06,USD,28252.2983
actual,2025-06,JPY,152.955
forecast,2025-07,USD,26760.1715
forecast,2025-07,JPY,164.7492
actual,2025-07,USD,28569.0702
actual,2025-07,JPY,153.2374
forecast,2025-08,USD,26829.7796
forecast,2025-08,JPY,164.9499
actual,2025-08,USD,28447.586
actual,2025-08,JPY,152.638
forecast,2025-09,USD,26864.1315
forecast,2025-09,JPY,165.1754
actual,2025-09,USD,28557.9297
actual,2025-09,JPY,153.5897
forecast,2025-10,USD,26895.0459
forecast,2025-10,JPY,165.6075
actual,2025-10,USD,29005.6897
actual,2025-10,JPY,150.969
