version,model,qty,month
forecast,A1,46,2024-11
actual,A1,45,2024-11
forecast,A1,45,2024-12
actual,A1,40,2024-12
forecast,A1,47,2025-01
actual,A1,43,2025-01
forecast,A1,47,2025-02
actual,A1,45,2025-02
forecast,A1,49,2025-03
actual,A1,52,2025-03
forecast,A1,48,2025-04
actual,A1,41,2025-04
forecast,A1,48,2025-05
actual,A1,51,2025-05
forecast,A1,50,2025-06
actual,A1,46,2025-06
forecast,A1,52,2025-07
actual,A1,53,2025-07
forecast,A1,54,2025-08
actual,A1,54,2025-08
forecast,A1,55,2025-09
actual,A1,50,2025-09
forecast,A1,54,2025-10
actual,A1,47,2025-10
forecast,A2,54,2024-11
actual,A2,47,2024-11
forecast,A2,54,2024-12
actual,A2,47,2024-12
forecast,A2,55,2025-01
actual,A2,58,2025-01
forecast,A2,56,2025-02
actual,A2,49,2025-02
forecast,A2,57,2025-03
actual,A2,60,2025-03
forecast,A2,56,2025-04
actual,A2,49,2025-04
forecast,A2,59,2025-05
actual,A2,56,2025-05
forecast,A2,62,2025-06
actual,A2,61,2025-06
forecast,A2,63,2025-07
actual,A2,55,2025-07
forecast,A2,62,2025-08
actual,A2,62,2025-08
forecast,A2,63,2025-09
actual,A2,59,2025-09
forecast,A2,63,2025-10
actual,A2,63,2025-10
forecast,A3,59,2024-11
actual,A3,54,2024-11
forecast,A3,58,2024-12
actual,A3,58,2024-12
forecast,A3,59,2025-01
actual,A3,63,2025-01
forecast,A3,62,2025-02
actual,A3,53,2025-02
forecast,A3,64,2025-03
actual,A3,63,2025-03
forecast,A3,63,2025-04
actual,A3,62,2025-04
forecast,A3,64,2025-05
actual,A3,57,2025-05
forecast,A3,64,2025-06
actual,A3,56,2025-06
forecast,A3,63,2025-07
actual,A3,58,2025-07
forecast,A3,64,2025-08
actual,A3,63,2025-08
forecast,A3,64,2025-09
actual,A3,69,2025-09
forecast,A3,67,2025-10
actual,A3,65,2025-10
forecast,A4,68,2024-11
actual,A4,67,2024-11
