ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Dt_year,Dt_month,Dt_day,Children,IsParent,MntTotal,Age,NumPurchaseTotal,log_Age,log_Recency,log_Income,log_Children,log_MntTotal,log_MntWines,log_MntFruits,log_MntMeatProducts,log_MntFishProducts,log_MntSweetProducts,log_MntGoldProds,log_NumPurchaseTotal
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,2012,9,4,0,0,1617,57,25,4.060443010546419,4.07753744390572,10.970591974102547,0.0,7.388946097618437,6.455198563340122,4.48863636973214,6.304448802421981,5.153291594497779,4.48863636973214,4.48863636973214,3.258096538021482
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,2014,3,8,2,1,27,60,6,4.110873864173311,3.6635616461296463,10.743868690309933,1.0986122886681098,3.332204510175204,2.4849066497880004,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,1.9459101490553132,1.9459101490553132
4141,1965,Graduation,In a relationship,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,2013,8,21,0,0,776,49,21,3.912023005428146,3.295836866004329,11.179045864561353,0.0,6.655440350367647,6.056784013228625,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,3.7612001156935624,3.091042453358316
6182,1984,Graduation,In a relationship,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2014,2,10,1,1,53,30,8,3.4339872044851463,3.295836866004329,10.190431852901,0.6931471805599453,3.9889840465642745,2.4849066497880004,1.6094379124341003,3.044522437723423,2.3978952727983707,1.3862943611198906,1.791759469228055,2.1972245773362196
5324,1981,PhD,In a relationship,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,2014,1,19,1,1,422,33,19,3.5263605246161616,4.553876891600541,10.973254451090401,0.6931471805599453,6.0473721790462776,5.159055299214529,3.784189633918261,4.77912349311153,3.8501476017100584,3.332204510175204,2.772588722239781,2.995732273553991
7446,1967,Master,In a relationship,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,2013,9,9,1,1,716,47,22,3.871201010907891,2.833213344056216,11.043145810640238,0.6931471805599453,6.57507584059962,6.255750041753367,3.7612001156935624,4.59511985013459,0.0,3.7612001156935624,2.70805020110221,3.1354942159291497
965,1971,Graduation,Single,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,2012,11,13,1,1,590,43,21,3.784189633918261,3.5553480614894135,10.926585752727021,0.6931471805599453,6.3818160174060985,5.4638318050256105,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,3.332204510175204,3.091042453358316
6177,1985,PhD,In a relationship,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,2013,5,8,1,1,169,29,10,3.4011973816621555,3.4965075614664802,10.417956531216918,0.6931471805599453,5.135798437050262,4.343805421853684,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.1780538303479458,2.3978952727983707
4855,1974,PhD,In a relationship,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,2013,6,6,1,1,46,40,6,3.713572066704308,2.995732273553991,10.320617692174796,0.6931471805599453,3.8501476017100584,2.70805020110221,0.0,3.2188758248682006,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.9459101490553132
5899,1950,PhD,In a relationship,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,2014,3,13,2,1,49,64,2,4.174387269895637,4.23410650459726,8.639233817325263,1.0986122886681098,3.912023005428146,3.367295829986474,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,2.6390573296152584,1.0986122886681098
387,1976,Basic,In a relationship,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,2012,11,13,0,0,61,38,6,3.6635616461296463,4.0943445622221,8.922791623969637,0.0,4.127134385045092,1.9459101490553132,2.833213344056216,2.4849066497880004,2.4849066497880004,0.6931471805599453,2.833213344056216,1.9459101490553132
2125,1959,Graduation,Single,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,2013,11,15,0,0,1102,55,16,4.02535169073515,4.418840607796598,11.051429542337106,0.0,7.005789019253503,5.272999558563747,4.127134385045092,6.175867270105761,5.420534999272286,4.727387818712341,3.4339872044851463,2.833213344056216
8180,1952,Master,Single,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,2013,11,15,2,1,310,62,15,4.143134726391533,3.9889840465642745,10.991291642487635,1.0986122886681098,5.739792912179234,5.455321115357702,1.0986122886681098,3.9889840465642745,1.3862943611198906,1.791759469228055,2.70805020110221,2.772588722239781
2569,1987,Graduation,In a relationship,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,2012,10,10,0,0,46,27,5,3.332204510175204,3.6635616461296463,9.759848102334518,0.0,3.8501476017100584,1.3862943611198906,2.70805020110221,2.8903717578961645,1.9459101490553132,0.6931471805599453,1.791759469228055,1.791759469228055
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,2012,11,24,0,0,1315,68,26,4.23410650459726,3.1780538303479458,11.324195417595107,0.0,7.182352111885263,6.914730892718563,3.1354942159291497,4.7535901911063645,4.0943445622221,4.23410650459726,3.828641396489095,3.295836866004329
9736,1980,Graduation,In a relationship,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2012,12,24,2,1,96,34,9,3.5553480614894135,3.9512437185814275,10.641870970494749,1.0986122886681098,4.574710978503383,3.9889840465642745,1.791759469228055,2.995732273553991,1.0986122886681098,2.6390573296152584,1.6094379124341003,2.302585092994046
4939,1946,Graduation,In a relationship,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,2012,8,31,0,0,317,68,13,4.23410650459726,3.044522437723423,10.539032102959615,0.0,5.762051382780177,4.442651256490317,1.791759469228055,3.6635616461296463,5.017279836814924,2.5649493574615367,3.367295829986474,2.6390573296152584
6565,1949,Master,In a relationship,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,2013,3,28,1,1,1782,65,26,4.189654742026425,4.5217885770490405,11.251508751434526,0.6931471805599453,7.48605261786314,6.920671504248683,4.394449154672439,6.212606095751519,0.0,2.833213344056216,5.176149732573829,3.295836866004329
