model,category,market,standard_cost_domestic,standard_cost_import,exf,import_usd_value,import_jpy_value
A1,A,JP,730013.0,983406.0,275.2,20.93,2674.0
A2,A,JP,1408591.0,525320.0,189.55,9.49,1703.0
A3,A,JP,1373494.0,2108952.0,221.32,41.65,6260.0
A4,A,EU,1407119.0,1380696.0,286.99,46.04,1049.0
A5,A,EU,1108301.0,1726915.0,207.22,15.31,8179.0
A6,A,JP,1155913.0,1233719.0,194.97,24.87,3580.0
A7,A,JP,1575678.0,2216689.0,214.35,33.2,8298.0
A8,A,US,1695286.0,2183275.0,248.15,37.07,7463.0
A9,A,JP,754989.0,1005328.0,163.56,18.71,3170.0
A10,A,VN,1739780.0,1392947.0,6385276.0,25.87,4401.0
B1,B,VN,1144217.0,955509.0,6641636.0,17.85,3002.0
B2,B,JP,1430957.0,1469086.0,177.78,16.04,6468.0
B3,B,EU,1023937.0,2351715.0,187.33,51.49,6161.0
B4,B,US,1711422.0,1609632.0,155.46,44.47,2718.0
B5,B,US,1181398.0,1563025.0,246.42,11.11,7849.0
B6,B,US,955152.0,2063581.0,259.28,31.46,7635.0
B7,B,VN,1017856.0,1358768.0,4956854.0,19.59,5210.0
B8,B,EU,1777387.0,1132303.0,319.58,26.77,2645.0
B9,B,EU,809091.0,563523.0,256.67,10.21,1822.0
B10,B,EU,1415691.0,1571390.0,229.57,26.08,5469.0
C1,C,US,1865294.0,1450332.0,272.52,48.46,1086.0
C2,C,US,1622318.0,1149211.0,176.89,23.99,3201.0
C3,C,JP,1844579.0,1774853.0,235.1,49.17,2975.0
C4,C,VN,1309218.0,1263168.0,6404173.0,13.0,5690.0
C5,C,VN,883407.0,1969828.0,6246566.0,43.84,5045.0
C6,C,JP,1418734.0,1112000.0,211.71,30.96,1839.0
C7,C,US,987343.0,1358953.0,163.39,19.32,5255.0
C8,C,EU,1679228.0,2228151.0,171.38,53.97,4995.0
C9,C,EU,1836218.0,1217238.0,253.12,15.76,4958.0
C10,C,VN,1814696.0,2143682.0,6082372.0,43.5,6174.0
